2016-10-12 15:14:55,128 [Worker-198] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:14:55,131 [Worker-198] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:14:55,132 [Worker-198] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:14:55,134 [Worker-198] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:15:04,327 [Worker-200] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:15:04,330 [Worker-200] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:15:04,331 [Worker-200] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:15:04,332 [Worker-200] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:15:13,323 [Worker-201] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:15:13,324 [Worker-201] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:15:13,325 [Worker-201] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:15:13,326 [Worker-201] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:15:54,068 [Worker-198] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:15:54,069 [Worker-198] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:15:54,071 [Worker-198] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:15:54,071 [Worker-198] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:16:08,857 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:08,858 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:16:08,859 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:08,860 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:16:10,026 [Worker-200] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:10,027 [Worker-200] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:16:10,028 [Worker-200] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:10,029 [Worker-200] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:16:23,984 [Worker-197] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:23,985 [Worker-197] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:16:23,988 [Worker-197] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:23,989 [Worker-197] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:16:25,041 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:25,042 [Worker-194] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:16:25,043 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:25,044 [Worker-194] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:16:26,086 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:26,095 [Worker-196] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:16:26,097 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:26,108 [Worker-196] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:16:32,681 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:32,683 [Worker-194] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:16:32,684 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:16:32,685 [Worker-194] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
